country,number_of_waves,average_peak_height,average_duration_days,average_growth_rate,average_decline_rate
Brazil,8,21.36179019559907,126.375,0.461972606482619,0.1434322040823273
Germany,3,101.91052368863488,294.0,0.559870162975828,0.3242319272349929
Japan,4,52.763790825010176,156.25,0.37020122292598334,0.377980992666509
United States,3,84.20511818239017,382.3333333333333,0.11917190900738922,0.223076680947744
